revenues,revenues(change%),profit,profit(change%),asset($m),marketcap(03032021),change_rank(1000),employees,change_rank(500),measure_rank,company
"$559,151",6.7%,"$13,510",-9.2%,"$252,496","$382,642.8",-,"2,300,000",-,20,Walmart
"$386,064",37.6%,"$21,331",84.1%,"$321,195","$1,558,069.6",-,"1,298,000",-,11,Amazon
"$274,515",5.5%,"$57,411",3.9%,"$323,888","$2,050,665.9",1,"147,000",1,188,Apple
"$268,706",4.6%,"$7,179",8.2%,"$230,715","$98,653.2",1,"256,500",1,57,CVS Health
"$257,141",6.2%,"$15,403",11.3%,"$197,289","$351,725",2,"330,000",2,25,UnitedHealth Group
"$245,510",-3.6%,"$42,521",-47.8%,"$873,729","$587,823",-,"360,000",-,-,Berkshire Hathaway
"$231,051",7.8%,$900,2547.1%,"$61,247","$31,044",1,"70,000",1,205,McKesson
"$189,893.9",5.7%,"$-3,408.7",-498.5%,"$44,274.8","$24,169.7",2,"21,500",2,120,AmerisourceBergen
"$182,527",12.8%,"$40,269",17.3%,"$319,616","$1,392,561.8",2,"135,301",2,215,Alphabet
"$181,502",-31.5%,"$-22,440",-256.5%,"$332,750","$236,355.4",-7,"72,000",-7,327,Exxon Mobil
"$171,760",-5.2%,"$-5,176",-137.2%,"$525,761","$215,878.5",-2,"230,760",-2,26,AT&T
"$166,761",9.2%,"$4,002",9.4%,"$55,556","$155,984.3",2,"214,500",2,123,Costco Wholesale
"$160,401",4.5%,"$8,458",65.7%,"$155,451","$83,976.1",-,"72,963",-,179,Cigna
"$152,922",5.1%,"$-3,696",-371.2%,"$40,766","$17,840.3",2,"48,000",2,64,Cardinal Health
"$143,015",13.6%,"$44,281",12.8%,"$301,311","$1,778,228.2",6,"163,000",6,1,Microsoft
"$139,537",2%,$456,-88.5%,"$87,174","$47,455.3",3,"277,000",3,19,Walgreens Boots Alliance
"$132,498",8.4%,"$2,585",55.8%,"$48,662","$27,064.3",6,"465,000",6,190,Kroger
"$132,110",19.9%,"$12,866",14.4%,"$70,581","$328,775.4",8,"504,800",8,66,Home Depot
"$129,503",-9.1%,"$29,131",-20%,"$3,386,071","$464,530.8",-2,"255,351",-2,54,JPMorgan Chase
"$128,292",-2.7%,"$17,801",-7.6%,"$316,481","$240,633.3",-,"132,200",-,7,Verizon Communications
"$127,144",-18.4%,"$-1,279",-2821.3%,"$267,261","$48,739",-9,"186,000",-9,207,Ford Motor
"$122,485",-10.7%,"$6,427",-4.5%,"$235,194","$82,794.9",-4,"155,000",-4,156,General Motors
"$121,867",16.9%,"$4,572",-4.9%,"$86,615","$87,908.9",6,"83,400",6,18,Anthem
"$111,115",48.9%,"$1,808",36.9%,"$68,719","$37,169.6",18,"71,300",18,2,Centene
"$106,437",-11.5%,"$11,805",-16.6%,"$3,985,749","$2,397.2",-1,"7,700",-1,343,Fannie Mae
"$103,564",-4.9%,"$10,534",-19.3%,"$273,869","$247,859.3",2,"168,000",2,88,Comcast
"$94,692",-35.4%,"$-5,543",-289.6%,"$239,790","$201,865",-12,"47,736",-12,56,Chevron
"$94,224",2.2%,"$3,250",-29.6%,"$123,415","$67,229.1",6,"158,000",6,142,Dell Technologies
"$93,753",-17.5%,"$17,894",-34.8%,"$2,819,627","$333,788.4",-4,"212,505",-4,10,Bank of America
"$93,561",19.8%,"$4,368",33.1%,"$51,248","$98,760.9",7,"409,000",7,3,Target
"$89,597",24.2%,"$5,835",36.3%,"$46,735","$136,407.9",13,"280,000",13,175,Lowe's
"$88,952",-28.7%,"$-9,826",-472.6%,"$85,158","$34,873.8",-10,"57,900",-10,181,Marathon Petroleum
"$88,839",-14.1%,"$11,047",-43.1%,"$2,260,090","$151,806.4",-2,"210,153",-2,17,Citigroup
"$85,965",21.6%,"$29,146",57.7%,"$159,316","$838,724.2",12,"58,604",12,44,Meta Platforms
"$84,628",14.2%,"$1,343",-69.8%,"$62,408","$147,791.6",8,"408,255",8,105,United Parcel Service
"$82,584",0.6%,"$14,714",-2.7%,"$174,894","$432,685.3",-1,"134,500",-1,51,Johnson & Johnson
"$80,303",-22.7%,"$3,301",-83.1%,"$1,955,163","$161,521",-7,"268,531",-7,13,Wells Fargo
"$79,619",-16.4%,"$5,704",-,"$253,452","$115,342.5",-5,"184,000",-5,306,General Electric
"$78,898",-0.6%,"$3,738.9",-33.1%,"$299,104.5",-,-3,"57,582",-3,-,State Farm Insurance
